id,jurisdiction,court_area,procedure_stage,issue_name,already_completed_triggers,required_forms,optional_forms,not_needed_if_completed,missing_info_before_generation,form_purpose,generation_priority,user_facing_next_step,court_use_notes,official_source_name,official_source_url,notes,is_active,created_at,authority_source_id,authority_source_type,authority_citation,authority_pinpoint,authority_issuing_body,authority_checked_at,authority_review_status,authority_court_area,authority_topic,authority_stage_applicability,canonical_form_id,canonical_form_court_type,form_revision_or_effective_at,form_review_status,authority_bundle_version,applicability_conditions,applicability_questions
12,Ontario,civil,already-started,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/900194,,true,2026-08-10 18:47:51.626356+00,on-civil-service-rr16-17,primary-procedural-rule,"R.R.O. 1990, Reg. 194, Rules of Civil Procedure",rr. 16-17,Ontario e-Laws,2026-08-10,verified-for-workflow,civil,service,"[""already-started""]",952b0ad2-1599-4815-be23-d2dfb5aee75d,civil,"Version: Feb. 1, 2021; effective: April 6, 2021",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""civil""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""already-started""},{""path"":""formApplicability.civil.hasCompletedServiceAndPreparingProof"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""I have completed service and am preparing proof of service for court documents."",""field_path"":""formApplicability.civil.hasCompletedServiceAndPreparingProof"",""value_type"":""boolean"",""explanation"":""This does not confirm that service was legally valid.""}]"
13,Ontario,family,already-started,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/990114,,true,2026-08-10 18:47:51.626356+00,on-family-service-r6,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 6,Ontario e-Laws,2026-08-10,verified-for-workflow,family,service,"[""already-started""]",21fd1fd2-2d0f-486d-abbf-41faab3d488c,family,"Version: April 12, 2016; effective: July 1, 2016",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""already-started""},{""path"":""formApplicability.family.hasCompletedServiceAndPreparingProof"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""I have completed service and am preparing proof of service for court documents."",""field_path"":""formApplicability.family.hasCompletedServiceAndPreparingProof"",""value_type"":""boolean"",""explanation"":""This does not confirm that service was legally valid.""}]"
14,Ontario,civil,responding,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/900194,,true,2026-08-10 18:47:51.626356+00,on-civil-respond-r18,primary-procedural-rule,"R.R.O. 1990, Reg. 194, Rules of Civil Procedure",r. 18,Ontario e-Laws,2026-08-10,verified-for-workflow,civil,respond,"[""responding""]",502cd465-720a-4d71-8b6c-a7eefe788657,civil,"Version: July 1, 2007; effective: July 1, 2008",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""civil""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""responding""},{""path"":""formApplicability.civil.responseDocument"",""equals"":""statement-of-defence""}]}","[{""choices"":[{""label"":""I am preparing a Statement of Defence in response to a civil Statement of Claim."",""value"":""statement-of-defence""},{""label"":""Notice of Intent to Defend"",""value"":""notice-of-intent-to-defend""},{""label"":""Application"",""value"":""application""},{""label"":""Motion"",""value"":""motion""},{""label"":""Appeal"",""value"":""appeal""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Which civil response document are you preparing?"",""field_path"":""formApplicability.civil.responseDocument"",""value_type"":""string""}]"
15,Ontario,small-claims,already-started,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/980258,,true,2026-08-10 18:47:51.626356+00,on-scc-service-r8,primary-procedural-rule,"O. Reg. 258/98, Rules of the Small Claims Court",r. 8,Ontario e-Laws,2026-08-10,verified-for-workflow,small-claims,service,"[""already-started""]",a576815d-2bc8-4a13-9502-348eec5819e2,small-claims,"Version: Aug. 1, 2022; effective: Jan. 30, 2023",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""small-claims""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""already-started""},{""path"":""formApplicability.smallClaims.hasCompletedServiceAndPreparingProof"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""I have completed service and am preparing proof of service for court documents."",""field_path"":""formApplicability.smallClaims.hasCompletedServiceAndPreparingProof"",""value_type"":""boolean"",""explanation"":""This does not confirm that service was legally valid.""}]"
16,Ontario,family,motion,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/990114,,true,2026-08-10 20:26:35.051098+00,on-family-motion-r14-09,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 14 (9),Ontario e-Laws,2026-08-10,verified-for-workflow,family,motion,"[""motion""]",faaf5ef0-e3c0-426a-ae2a-9e966feb499a,family,"Version: Sept. 1, 2005; effective: May 1, 2006",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""motion""},{""path"":""formApplicability.family.motionDocumentSet"",""equals"":""notice-of-motion-and-general-affidavit""}]}","[{""choices"":[{""label"":""Notice of Motion (Form 14) and Affidavit (General) (Form 14A)"",""value"":""notice-of-motion-and-general-affidavit""},{""label"":""Procedural or uncomplicated/unopposed motion"",""value"":""procedural-or-unopposed-motion""},{""label"":""Without-notice or urgent motion"",""value"":""without-notice-or-urgent-motion""},{""label"":""Another motion document"",""value"":""another-motion-document""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Which Family Law Rules motion document set are you preparing?"",""field_path"":""formApplicability.family.motionDocumentSet"",""value_type"":""string"",""explanation"":""This does not assess urgency, relief, evidence, deadlines, service, or filing readiness.""}]"
17,Ontario,family,starting-case,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/990114,,true,2026-08-10 20:37:03.585299+00,on-family-divorce-application-r8-01,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 8 (1),Ontario e-Laws,2026-08-10,verified-for-workflow,family,divorce-application,"[""starting-case""]",03664f12-87b9-439c-a896-5ffeb0dd738e,family,"Version: April 1, 2024; effective: July 15, 2024",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""starting-case""},{""path"":""formApplicability.family.isDivorceApplication"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Is this a divorce application?"",""field_path"":""formApplicability.family.isDivorceApplication"",""value_type"":""boolean""}]"
18,Ontario,small-claims,responding,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/980258,,true,2026-08-10 20:37:03.585299+00,on-scc-defendant-claim-r10-02,primary-procedural-rule,"O. Reg. 258/98, Rules of the Small Claims Court",r. 10.02,Ontario e-Laws,2026-08-10,verified-for-workflow,small-claims,defendant-claim,"[""responding""]",a9359589-58d6-4255-b07f-5054ef5be3e2,small-claims,"Version: Aug. 1, 2022; effective: Jan. 30, 2023",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""small-claims""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""responding""},{""path"":""formApplicability.smallClaims.isMakingDefendantsClaim"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Are you making a Defendant's Claim in this Ontario Small Claims Court matter?"",""field_path"":""formApplicability.smallClaims.isMakingDefendantsClaim"",""value_type"":""boolean"",""explanation"":""This is not a Defence.""}]"
19,Ontario,civil,responding,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/900194,,true,2026-08-10 20:37:03.585299+00,on-civil-notice-intent-r18-02-1,primary-procedural-rule,"R.R.O. 1990, Reg. 194, Rules of Civil Procedure",r. 18.02 (1),Ontario e-Laws,2026-08-10,verified-for-workflow,civil,notice-of-intent-to-defend,"[""responding""]",38ecdb74-266d-4b46-908e-ddccfb3030df,civil,"Version: July 1, 2007; effective: July 1, 2008",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""civil""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""responding""},{""path"":""formApplicability.civil.responseDocument"",""equals"":""notice-of-intent-to-defend""}]}","[{""choices"":[{""label"":""I am preparing a Statement of Defence in response to a civil Statement of Claim."",""value"":""statement-of-defence""},{""label"":""Notice of Intent to Defend"",""value"":""notice-of-intent-to-defend""},{""label"":""Application"",""value"":""application""},{""label"":""Motion"",""value"":""motion""},{""label"":""Appeal"",""value"":""appeal""},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Which civil response document are you preparing?"",""field_path"":""formApplicability.civil.responseDocument"",""value_type"":""string""}]"
20,Ontario,family,starting-case,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/990114,,true,2026-08-10 21:02:32.78863+00,on-family-financial-disclosure-r13-01-2,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 13 (1.2),Ontario e-Laws,2026-08-10,verified-for-workflow,family,financial-disclosure,"[""starting-case""]",497ac7b5-7ed7-4303-9c9a-621402b06a28,family,"Version: May 1, 2021; effective: Sept. 1, 2021",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""starting-case""},{""path"":""formApplicability.family.needsPropertyAndSupportFinancialStatement"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Do you need the Financial Statement (Property and Support Claims) for a Family case starting in Ontario?"",""field_path"":""formApplicability.family.needsPropertyAndSupportFinancialStatement"",""value_type"":""boolean"",""explanation"":""Support-only and other claim combinations remain review-required.""}]"
21,Ontario,family,parenting-affidavit,,[],[],[],[],[],,medium,,[],,https://www.ontario.ca/laws/regulation/990114,,true,2026-08-11 02:19:04.855563+00,on-family-parenting-affidavit-r35-1-01,primary-procedural-rule,"O. Reg. 114/99, Family Law Rules",r. 35.1 (1),Ontario e-Laws,2026-08-10,verified-for-workflow,family,parenting-affidavit,"[""parenting-affidavit""]",501395c9-f7a4-4214-b13b-30b38ce5d85c,family,"Version: Sept. 1, 2021; effective: Dec. 1, 2021",verified-for-workflow,ontario-beta-form-mapping-v1,"{""all"":[{""path"":""courtPath"",""equals"":""family""},{""path"":""province"",""equals"":""Ontario""},{""path"":""stage"",""equals"":""parenting-affidavit""},{""path"":""formApplicability.family.hasDecisionMakingParentingTimeOrContactClaim"",""equals"":true}]}","[{""choices"":[{""label"":""Yes"",""value"":true},{""label"":""No"",""value"":false},{""label"":""Not sure"",""value"":""not-sure""}],""question"":""Are you making a Family claim about decision-making responsibility, parenting time, or contact with a child?"",""field_path"":""formApplicability.family.hasDecisionMakingParentingTimeOrContactClaim"",""value_type"":""boolean"",""explanation"":""This does not assess parenting merits, safety, evidence, schedules, service, filing readiness, or other forms.""}]"
