canonical_form_id,court_type,form_number,official_title,procedure_stage,official_source_result,source_revision_status,required_structured_fact,user_facing_status,classification,reason
"7c90d2f7-79ea-4406-bffc-006b1caa8822","civil","Form 15B","Notice of Appointment of Lawyer","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"c527548f-a52f-4c27-95e3-72a0e18c13d1","civil","Form 15C","Notice of Intention to Act in Person","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"4b4905b1-28ca-4f2f-a8a4-02481b92e639","civil","Form 16A","Acknowledgment of Receipt Card","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"14027a79-2f28-4df2-9627-6bb31cdce897","civil","Form 16B","1 Lawyer's Certificate of Service","already-started","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"952b0ad2-1599-4815-be23-d2dfb5aee75d","civil","Form 16B","Affidavit of Service","already-started","not researched in current official-source queue","not verified","","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"5bbcf179-f4ef-40ed-a3e2-05e1a4b086a7","civil","Form 16C","Certificate of Service by Sheriff","already-started","verified-catalogue-source","Nov. 1, 2005","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"7988836d-cec8-4a2e-9352-5cbd4b8dc79a","civil","Form 17A","Request for Service Abroad of Judicial or Extrajudicial Documents","already-started","ambiguous-official-identity","Nov. 1, 2005","","user-facing catalogue record","provenance-missing","Official page form number matched, but the page title does not exactly match the catalogue title."
"8b9a3028-beb1-4659-b0e4-35e711cafa07","civil","Form 17B","Summary of the Document to be Served","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"39d222ef-c39d-4e2f-bfa8-fa4c46c8c244","civil","Form 17C","Notice and Summary of Document","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"502cd465-720a-4d71-8b6c-a7eefe788657","civil","Form 18A","Statement of Defence","responding","not researched in current official-source queue","not verified","","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"38ecdb74-266d-4b46-908e-ddccfb3030df","civil","Form 18B","Notice of Intent to Defend","general","not researched in current official-source queue","not verified","","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"31ba2c6d-f747-4256-a6a9-9c1f83687292","civil","Form 19A","Default Judgment (Debt or Liquidated Demand)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"99dfd529-cf20-40e3-a627-92c9f166f04b","civil","Form 19B","Default Judgment (Recovery of Possession of Land)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"32fa7081-0270-46cb-a8b8-ab53e20512d7","civil","Form 19C","Default Judgment (Recovery of Possession of Personal Property)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"5072440a-f6d6-4961-b05c-ca94111b91d0","civil","Form 19D","Requisition for Default Judgment","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"c239081a-3db0-40c3-a58c-ff993bc14510","civil","Form 2","1A Request for Stay or Dismissal Under Rule 2.1","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"7e43e311-b120-4803-acf0-4d19cfc75b64","civil","Form 2","1B Notice That Proceeding (or Motion)","motion","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"113cb89d-3d82-4e39-bbbe-7932c0eea140","civil","Form 2","2A Notice of Motion for Vexatious Litigant Order","motion","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"1fea3b12-f2ba-4e6f-9a39-d4fd428ce105","civil","Form 2","2B Notice of Application for Vexatious Litigant Order","starting-case","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"30ee606a-240b-4fd1-8d56-3e04323a7b05","civil","Form 2","2C Registrar’s Notice Proposing Consideration of Vexatious Litigant Order","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"3a84155a-eb90-42b3-8703-1e8b3708987c","civil","Form 2","2D Response From Potential Subject of Vexatious Litigant Order","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"0e98c91c-9ae9-48ea-91a8-625d11caf71d","civil","Form 2","2E Reply Respecting Potential Vexatious Litigant Order","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"a9d40795-d0a7-461c-9218-1c912d2d20d1","civil","Form 2","2F Order Following Initial Review Under Rule 2.2","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"711c09eb-7514-4ed3-a6b3-8b1c235b97ab","civil","Form 2","2G Vexatious Litigant Order","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"a0c60fa0-f98d-4cdd-bd8b-f688cd8ac40e","civil","Form 22A","Special Case","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"9a8c6391-dbce-4799-8b42-ea5de17dccce","civil","Form 23A","Notice of Discontinuance","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"3949647e-4fa3-4287-abbc-48db14684cff","civil","Form 23B","Notice of Election to Proceed with Counterclaim","starting-case","verified-catalogue-source","July 1, 2007","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"11e57d83-ca3e-42a3-a4f4-d4de6848a449","civil","Form 23C","Notice of Withdrawal of Defence","responding","verified-catalogue-source","July 1, 2007","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"b6b9ad50-c0ee-4b4d-a926-163f4fc76c1d","civil","Form 24","1A Notice of Name of Mediator and Date of Session","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"7871e6a0-e300-437a-b2b1-92d41d507756","civil","Form 24","1B Notice by Assigned Mediator","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"60c7c331-c00b-4f1d-bc8d-837ea278bea1","civil","Form 24","1C Statement of Issues","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"6c290284-c1bf-45e5-bbad-44af2ee5202c","civil","Form 24","1D Certificate of Non-Compliance","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"d918ad2a-1cfd-475c-b057-4fc337da59af","civil","Form 25A","Reply","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"92121753-d5a5-45e5-9cb6-21b837de7c13","civil","Form 27A","Counterclaim (Against Parties to Main Action Only)","responding","verified-catalogue-source","July 1, 2007","formApplicability.civil.pleadingPosture=counterclaim-existing-parties","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"a4c3343d-1ed5-4da3-b247-8460b5d27b3c","civil","Form 27B","Counterclaim (Against Plaintiff and Person not Already Party to Main Action)","responding","ambiguous-official-identity","July 1, 2007","","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"8135da24-53f9-4360-a7c4-81d66fe8530a","civil","Form 27C","Defence to Counterclaim","responding","verified-catalogue-source","July 1, 2007","formApplicability.civil.pleadingPosture=defence-to-counterclaim","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"a73f2f4c-8dc7-4bb6-a10b-a50e17a7d185","civil","Form 27D","Reply to Defence to Counterclaim","already-started","verified-catalogue-source","July 1, 2007","formApplicability.civil.pleadingPosture=reply-to-defence-to-counterclaim","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"ce2bebe1-9c12-469f-bcca-ebb4d7968216","civil","Form 28A","Crossclaim","responding","verified-catalogue-source","July 1, 2007","formApplicability.civil.pleadingPosture=crossclaim","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"2ed14ff3-cec2-4c95-baa7-54c94b923c3a","civil","Form 28B","Defence to Crossclaim","starting-case","not researched in current official-source queue","not verified","","user-facing catalogue record","complex-review-required","Explicitly excluded by the established Rule 28.05(2) safety boundary."
"b2cc9170-cb22-4087-843e-1b4ca4eb2620","civil","Form 28C","Reply to Defence to Crossclaim","already-started","verified-catalogue-source","July 1, 2007","formApplicability.civil.pleadingPosture=reply-to-defence-to-crossclaim","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"b8d28c25-2b10-4450-a1f3-2d22f5ce2a8a","civil","Form 29A","Third Party Claim","starting-case","not researched in current official-source queue","not verified","","user-facing catalogue record","complex-review-required","Explicitly excluded by the established Rule 29.01 substantive-applicability safety boundary."
"cdba6867-648f-40be-ac57-8094d5f0db7d","civil","Form 29B","Third Party Defence","responding","not researched in current official-source queue","not verified","","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"79f07cdf-6f02-4857-8402-1b77addfa7f6","civil","Form 29C","Reply to Third Party Defence","responding","verified-catalogue-source","July 1, 2007","formApplicability.civil.pleadingPosture=reply-to-third-party-defence","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"b34fc468-f29b-4c23-94ce-a2b690231db6","civil","Form 30A","Affidavit of Documents (Individual)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"61010cfd-60d5-46a2-9e0b-67296fb75faf","civil","Form 30B","Affidavit of Documents (Corporation or Partnership)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"13b39e2b-ae76-4c87-81f8-8e1961379014","civil","Form 30C","Request to Inspect Documents","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"48fb7baa-2712-42fd-aa01-ecfe1bf565d8","civil","Form 34A","Notice of Examination","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"e8c3abfd-2e93-420d-bce9-42553365a66d","civil","Form 34B","Summons to Witness (Examination out of Court)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"e756d0da-7541-43c2-b982-e3b19419de0f","civil","Form 34C","Commission","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"31a08c79-f14d-42d8-a379-2b40df2580bd","civil","Form 34D","Letter of Request","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"678de42f-e98b-44be-996b-687c70fe1dac","civil","Form 34E","Order for Commission and Letter of Request","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"8e353c49-1539-4dda-a00e-5ed2faa37b8a","civil","Form 35A","Questions on Written Examination for Discovery","enforcement","verified-catalogue-source","July 1, 2007","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"8227350b-fc15-4d4c-937e-08acee4aae7d","civil","Form 35B","Answers on Written Examination for Discovery","responding","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"1e9b6788-cb57-42d6-a732-fd8cef53d623","civil","Form 37A","Notice of Motion","motion","not researched in current official-source queue","not verified","","user-facing catalogue record","mapped-and-verified","Active exact canonical mapping in readonly export."
"c73b28fc-4028-40da-ba11-654fd891391d","civil","Form 37B","Confirmation of Motion","motion","verified-catalogue-source","May 15, 2024","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"a3249013-7bf0-486b-b54f-27addff9b01e","civil","Form 37C","Refusals and Undertakings Chart","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"34dbdb5d-4637-4c13-801a-d3aa1f4ab918","civil","Form 38A","Notice of Appearance","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"b07feae4-9364-4983-a4a2-8d7230714e03","civil","Form 38B","Confirmation of Application","starting-case","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"bf9bd17d-e387-4f57-bdb7-0b7f49a95132","civil","Form 42A","Certificate of Pending Litigation","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"95ed17f6-ffbd-4d66-8095-2fd38869b02f","civil","Form 43A","Interpleader Order - General","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"26747cea-6d3d-44a7-a028-fdf48f88c2a2","civil","Form 44A","Bond - Interim Recovery of Personal Property","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"fc1a6c86-797f-41d0-8b16-97fa78237dd6","civil","Form 47A","Jury Notice","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"b0455a58-6540-414c-a777-38be82ba4e05","civil","Form 48D","Order Dismissing Action for Delay","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"66417fb1-d3ac-4960-9cb8-6327841194f0","civil","Form 49A","Offer to Settle","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"2e87aa32-112a-46fe-a853-22777e36ea4d","civil","Form 49B","Notice of Withdrawal of Offer","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"9d527b28-584e-43b0-b30d-d608402893ba","civil","Form 49C","Acceptance of Offer","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"52dbeea7-4981-4ecc-9718-2d52c40299ce","civil","Form 49D","Offer to Contribute","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"a4e0ca4b-6c90-47a1-b9c2-aec2700e9b43","civil","Form 49E","Terms of Partial Settlement Agreement","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"abd73dcc-c4b7-4096-af15-7b34e4938180","civil","Form 4A","General Heading of Documents - Actions","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"3f53c226-4f36-4598-8bd4-a0fb2282495b","civil","Form 4B","General Heading of Documents - Applications","starting-case","verified-catalogue-source","April 11, 2012","","user-facing catalogue record","complex-review-required","No precise governing Rule/statute pinpoint and fail-closed applicability boundary were proved in this pass; remain review-required."
"647ba98a-bea6-4238-bd64-95632b97d153","civil","Form 4D","Affidavit","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"15d00cdd-1981-436e-824c-64096a8585ef","civil","Form 4E","Requisition","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"743e0b13-91a9-4d75-b937-db33302fa741","civil","Form 4F","Notice of Constitutional Question","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"1a94c4d5-9732-471b-bf99-0542d2035f56","civil","Form 50A","Certificate of readiness","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"bf392838-31ee-45d2-bf5a-baf396520841","civil","Form 51A","Request to Admit","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"973c7584-40fb-47d1-97ec-9702d765c421","civil","Form 51B","Response to Request to Admit","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"84eb0d7f-6cf0-4b19-9965-1397b074fc0e","civil","Form 53","Acknowledgment of Expert's Duty","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"e66ae153-f221-4544-a5df-eaf0c7ac0940","civil","Form 53A","Summons to Witness (at Hearing)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"8cc6ab7d-0164-47e6-a5c7-f40bc0ba5edb","civil","Form 53B","Warrant for Arrest (Defaulting Witness)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"7439e740-debb-40e9-a836-8f6eaeae6ec2","civil","Form 53C","Summons to a Witness Outside Ontario","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"c64ace21-e071-49de-9403-9a09f60941d7","civil","Form 53D","Order for Attendance of Witness in Custody","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"9497521b-bc8a-41a8-9cd7-333c60f179e8","civil","Form 55A","Notice of Hearing for Directions","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"f8ff4fd9-c7cf-4fc9-a886-74773387775c","civil","Form 55B","Notice to Party Added on Reference","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"f24c1ebb-8e04-45ac-922c-6b508daec354","civil","Form 55C","Report on Reference (Administration of Estate)","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"c82597ea-9d36-467c-8cc6-c79bc51f8573","civil","Form 55D","Notice of Contested Claim","starting-case","unavailable-official-page","not verified","","user-facing catalogue record","provenance-missing","No current official page was returned at the deterministic official-form URL; do not infer an alternate source."
"2ca9aebb-037b-4b1e-bb02-ad7f42b98968","civil","Form 55E","Notice to Creditor","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"f3619ac3-2d24-4ef0-8855-8b6d8324788d","civil","Form 55F","Conditions of Sale","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"2d291a1e-023e-4e48-88e6-d5d2eb7a8882","civil","Form 55G","Interim Report on Sale","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"0d123627-9197-468a-a666-b69a7a0f025c","civil","Form 56A","Order for Security for Costs","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"a30934f2-562a-4919-a211-ba34d0671cbe","civil","Form 57A","Bill of Costs","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"21c1eb87-57a4-450a-a58d-efded4a790ae","civil","Form 57B","Costs Outline","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"ae4ddfd4-75fe-4365-8f4d-7005da77d711","civil","Form 58A","Notice of Appointment for Assessment of Costs","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"cc5c370e-1d7a-4b23-8d9b-4a521f3d5a67","civil","Form 58B","Notice to Deliver a Bill of Costs for Assessment","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"a50fc816-ccd6-4c27-9198-be572cf93847","civil","Form 58C","Certificate of Assessment of Costs","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"91ddd108-fdfa-4613-a3a0-6d3bc240250f","civil","Form 59A","Order","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
"6b691ff0-8182-4ccd-abae-5a0a379a93dc","civil","Form 59B","Judgment","general","not researched in current official-source queue","not verified","","user-facing catalogue record","official-identity-ambiguous","Catalogue stage is 'general', so an exact mapping cannot be planned from the export alone."
